time,open,high,low,close,Plot,Plot,"BTCUSDTPERP, BINANCE: Open","BTCUSDTPERP, BINANCE: High","BTCUSDTPERP, BINANCE: Low","BTCUSDTPERP, BINANCE: Close",Volume,Volume MA,EMA,EMA,Histogram,MACD,Signal,Hist,MacNorm,Plot,Trigger,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1605949200,18794.79,18794.9,18566,18622.61,18661.7619,18661.7619,18794.79,18794.9,18566,18622.61,14396.868,16935.39425,18338.59728,18599.19818,-27.66782755,113.6679066,141.3357342,-0.197931176,0.202034057,NaN,0.399965233,53.74402835,62.68251612,NaN,NaN
1605952800,18622.61,18713.73,18576.28,18608,18654.08163,18654.08163,18622.61,18713.73,18576.28,18608,10858.899,15549.98285,18349.16209,18599.99835,-32.65972077,100.5110832,133.170804,-0.224129197,0.089589009,NaN,0.313718206,53.00151264,61.69797531,NaN,NaN
1605956400,18608,18660,18500,18542.56,18638.14997,18638.14997,18608,18660,18500,18542.56,13276.631,14135.66005,18356.74633,18594.77668,-39.46678692,83.83732033,123.3041072,-0.269806554,-0.052722194,NaN,0.21708436,49.69003026,60.68421494,NaN,NaN
1605960000,18543.4,18729.47,18302.08,18652.02,18640.1314,18640.1314,18543.4,18729.47,18302.08,18652.02,28284.492,14123.6739,18368.32569,18599.98062,-35.80306845,78.55027169,114.3533401,-0.267144382,-0.145167416,NaN,0.121976966,54.77943516,59.94483121,NaN,NaN
1605963600,18653.95,18860,18653.95,18820.02,18665.82977,18665.82977,18653.95,18860,18653.95,18820.02,19225.484,14285.51715,18386.03919,18619.9842,-21.95103473,86.91454672,108.8655815,-0.137666806,-0.077967292,NaN,0.059699514,61.25742103,59.56084161,NaN,NaN
1605967200,18820.02,18834,18662,18760.01,18679.28409,18679.28409,18820.02,18834,18662,18760.01,16099.153,14043.226,18400.70471,18632.71381,-16.94034357,87.69015198,104.6304956,-0.211681036,-0.230609284,NaN,-0.018928248,58.05804386,58.48854775,NaN,NaN
1605970800,18760,18882.65,18668.01,18812.73,18698.34779,18698.34779,18760,18882.65,18668.01,18812.73,16901.785,14477.02725,18416.86256,18649.07892,-10.50112765,91.504086,102.0052136,-0.249570341,-0.356947408,NaN,-0.107377068,60.03294491,57.73415232,NaN,NaN
1605974400,18812.73,18950,18697.27,18760,18707.15525,18707.15525,18812.73,18950,18697.27,18760,28106.418,15375.9045,18430.31893,18659.16266,-10.20973286,89.24304757,99.45278043,-0.195047415,-0.379390709,NaN,-0.184343294,57.13515357,57.18366347,NaN,NaN
1605978000,18759.99,18800,18671.99,18784.11,18718.14879,18718.14879,18759.99,18800,18671.99,18784.11,11366.057,15462.4835,18444.19309,18670.52151,-8.859929332,88.37786877,97.2377981,-0.137158894,-0.384361781,NaN,-0.247202886,58.13033233,57.06408721,NaN,NaN
1605981600,18784.1,18820.44,18740,18766.72,18725.08753,18725.08753,18784.1,18820.44,18740,18766.72,7014.08,15449.5087,18456.84121,18679.26682,-9.54573411,85.30563046,94.85136457,-0.116453258,-0.417471763,NaN,-0.301018505,57.10059254,57.18951913,NaN,NaN
